"string_id","source_zh","tokenized_zh","target_ru","target_text"
"303090","章节","章节","","Глава"
"303091","本服前5名达成的玩家","本服 前 5 名 达成 的 玩家","","Первые 5 игроков на сервере, выполнивших условие"
"303092","荒漠之城","荒漠 之 城","","Город в пустыне"
"303093","购买可获得大量超值忍者养成道具","购买 可 获得 大量 超值 忍者 养成 道具","","Покупка: большое количество выгодных предметов для развития ниндзя"
"303094","是否购买【{0}】","是否 购买 【 ⟦PH_1⟧ 】","","Купить «⟦PH_1⟧»?"
"303095","确定购买此物品吗","确定 购买 此 物品 吗","","Подтвердить покупку этого предмета?"
"303096","购买可获得大量铜币","购买 可 获得 大量 铜币","","Покупка: большое количество монет"
"303097","购买可获得大量尾兽强化道具","购买 可 获得 大量 尾兽 强化 道具","","Покупка: большое количество предметов усиления хвостатых зверей"
"303098","购买可获得大量元素养成道具","购买 可 获得 大量 元素 养成 道具","","Покупка: большое количество предметов развития элементов"
"303099","购买道具","购买 道具","","Купить предмет"
"303100","层数","层数","","Этаж"
"303101","第{0}层","第 ⟦PH_1⟧ 层","","Этаж ⟦PH_1⟧"
"303102","排行榜奖励","排行榜 奖励","","Награды рейтинга"
"303103","竞技场","竞技场","","Арена"
"303104","积分","积分","","Очки"
"303105","深渊排行榜","深渊 排行榜","","Рейтинг Бездны"
"303106","试炼排行榜","试炼 排行榜","","Рейтинг Испытаний"
"303107","组织排行榜","组织 排行榜","","Рейтинг организации"
"303108","暂无","暂无","","Нет"
"303109","首领:{0}","首领 : ⟦PH_1⟧","","Лидер: ⟦PH_1⟧"
"303110","保存设置","保存 设置","","Сохранить настройки"
"303111","任务质量","任务 质量","","Качество задания"
"303112","此处勾选，每次刷新可自动消耗军粮丸接取任务","此处 勾选 ， 每次 刷新 可 自动 消耗 军粮 丸 接取 任务","","Отметьте здесь, и при каждом обновлении будет автоматически расходоваться пилюля провизии, чтобы взять задание."
"303113","高级设置","高级 设置","","Расширенные настройки"
"303114","开始","开始","","Старт"
"303117","开始扫荡后，可通过拖动下方摇杆操控车辆碰撞物资以积累更高积分","开始 扫荡 后 ， 可 通过 拖动 下方 摇杆 操控 车辆 碰撞 物资 以 积累 更高 积分","","После начала зачистки можно, перетаскивая джойстик внизу, управлять машиной и врезаться в припасы, чтобы набрать больше очков."
"303123","可前往悬赏界面接取任务以消耗情报","可 前往 悬赏 界面 接取 任务 以 消耗 情报","","Можно перейти на экран наград и взять задания, чтобы потратить разведданные."
"303124","当前悬赏情报即将达到上限，继续可能会溢出浪费，是否继续？","当前 悬赏 情报 即将 达到 上限 ， 继续 可能 会 溢出 浪费 ， 是否 继续 ？","","Разведданные по наградам почти достигли лимита. Если продолжить, часть может переполниться и пропасть. Продолжить?"
"303125","{0} 解锁","⟦PH_1⟧   解锁","","Разблокировать ⟦PH_1⟧"
"303131","恭喜升级","恭喜 升级","","Поздравляем с повышением уровня"
"303132","出征/竞技场","出征 / 竞技场","","Поход / Арена"
"303133","开始战斗","开始 战斗","","Начать бой"
"303134","交换","交换","","Обмен"
"303135","阵容二","阵容 二","","Состав 2"
"303136","阵容一","阵容 一","","Состав 1"
"303137","剧情/竞技场","剧情 / 竞技场","","Сюжет / Арена"
"303138","忍者联赛","忍者 联赛","","Лига ниндзя"
"303139","组队挑战","组队 挑战","","Командный вызов"
"303140","火影对决","火影 对决","","Поединок Хокагэ"
"303141","未达到开启等级","未 达到 开启 等级","","Уровень открытия не достигнут"
"303142","已售罄","已 售罄","","Распродано"
"303143","暂无修行收益，请耐心等待...","暂无 修行 收益 ， 请 耐心 等待 ...","","Пока нет дохода от тренировки, пожалуйста, подождите…"
"303145","兽魂","兽魂","","Душа зверя"
"303146","Lv.{0} {1}","Lv . ⟦PH_1⟧   ⟦PH_3⟧","","Ур. ⟦PH_1⟧   ⟦PH_3⟧"
"303147","技能:","技能 :","","Навык:"
"303148","请上阵尾兽","请 上阵 尾兽","","Пожалуйста, выставьте хвостатого зверя"
"303149","暂无尾兽","暂无 尾兽","","Хвостатых зверей нет"
"303150","长按忍者头像可查询详细信息","长 按 忍者 头像 可 查询 详细信息","","Нажмите и удерживайте аватар ниндзя, чтобы посмотреть подробную информацию"
"303151","无冷却时间","无 冷却 时间","","Без времени перезарядки"
"303152","被动效果","被动 效果","","Пассивный эффект"
"303153","<color=#00000>{0}</c><color=#00000> Lv.{1}</color>","< color = # 00000 > ⟦PH_1⟧ < / c > < color = # 00000 >   Lv . ⟦PH_3⟧ < / color >","","< color = # 00000 > ⟦PH_1⟧ < / c > < color = # 00000 >   Ур. ⟦PH_3⟧ < / color >"
"303154","可添加","可 添加","","Можно добавить"
"305833","<color=#ffffff>选择一条</c><color=#f6bd0f>新增</color><color=#ffffff>的属性</c>","< color = # ffffff > 选择 一条 < / c > < color = # f6bd0f > 新增 < / color > < color = # ffffff > 的 属性 < / c >","","< color = # ffffff > Выберите один < / c > < color = # f6bd0f > новый < / color > < color = # ffffff > параметр < / c >"
